id,source,response
R01,app_review,"The checkout flow is smooth but shipping estimates were wrong twice. Still using it because returns are easy."
R02,interview,"I mostly use the app on the train. When the connection drops the screen goes blank and I have to force quit."
R03,survey,"Strongly agree that search works well. Filters could be clearer."
R04,app_review,"★★★★☆ Love the design. Hate that notifications turn back on after every update."
R05,interview,"We tried onboarding three new hires last month and everyone got stuck on the same permissions step. That was awkward in front of clients."
R06,survey,"Neutral on pricing. Would pay more if the family plan actually covered shared playlists the way you advertise."
R07,app_review,"Crashes when I attach more than three photos. On iOS 18. Please fix."
R08,interview,"I trust the recommendations less than I used to. Feels like the same five things rotate forever."
R09,survey,"The reminder emails are helpful. Too many though—maybe let me pick weekly instead of daily."
R10,app_review,"Fast. Simple. Exactly what I needed for expense reports until it stopped syncing with my bank."
R11,interview,"Accessibility-wise the contrast in dark mode is rough for my vision. I use invert colors as a workaround."
R12,survey,"N/A"
R13,app_review,"Deleted after a week. Too many steps to do the one thing I downloaded it for."
